"country","national","european","survey"
"France","Nat. Very Sat.",0.65,"41"
"Belgium","Nat. Very Sat.",0.767441860465116,"41"
"Netherlands","Nat. Very Sat.",0.720930232558139,"41"
"West Germany","Nat. Very Sat.",0.761904761904762,"41"
"Italy","Nat. Very Sat.",0.736842105263158,"41"
"Luxembourg","Nat. Very Sat.",0.855421686746988,"41"
"Denmark","Nat. Very Sat.",0.63030303030303,"41"
"Ireland","Nat. Very Sat.",0.889705882352941,"41"
"United Kingdom","Nat. Very Sat.",0.593220338983051,"41"
"Greece","Nat. Very Sat.",0.6,"41"
"Spain","Nat. Very Sat.",0.814814814814815,"41"
"Portugal","Nat. Very Sat.",0.80952380952381,"41"
"France","Nat. Fairly Sat.",0.644501278772379,"41"
"Belgium","Nat. Fairly Sat.",0.6784140969163,"41"
"Netherlands","Nat. Fairly Sat.",0.599613152804642,"41"
"West Germany","Nat. Fairly Sat.",0.620985010706638,"41"
"Italy","Nat. Fairly Sat.",0.620253164556962,"41"
"Luxembourg","Nat. Fairly Sat.",0.733067729083665,"41"
"Denmark","Nat. Fairly Sat.",0.546788990825688,"41"
"Ireland","Nat. Fairly Sat.",0.838709677419355,"41"
"United Kingdom","Nat. Fairly Sat.",0.64,"41"
"Greece","Nat. Fairly Sat.",0.449579831932773,"41"
"Spain","Nat. Fairly Sat.",0.716216216216216,"41"
"Portugal","Nat. Fairly Sat.",0.761487964989059,"41"
"France","Nat. Not Very Sat.",0.308474576271186,"41"
"Belgium","Nat. Not Very Sat.",0.448275862068966,"41"
"Netherlands","Nat. Not Very Sat.",0.267716535433071,"41"
"West Germany","Nat. Not Very Sat.",0.26453488372093,"41"
"Italy","Nat. Not Very Sat.",0.359102244389027,"41"
"Luxembourg","Nat. Not Very Sat.",0.457831325301205,"41"
"Denmark","Nat. Not Very Sat.",0.266233766233766,"41"
"Ireland","Nat. Not Very Sat.",0.578231292517007,"41"
"United Kingdom","Nat. Not Very Sat.",0.489096573208723,"41"
"Greece","Nat. Not Very Sat.",0.3,"41"
"Spain","Nat. Not Very Sat.",0.346666666666667,"41"
"Portugal","Nat. Not Very Sat.",0.475471698113208,"41"
"France","Nat. Not at all",0.185185185185185,"41"
"Belgium","Nat. Not at all",0.311475409836066,"41"
"Netherlands","Nat. Not at all",0.23728813559322,"41"
"West Germany","Nat. Not at all",0.222222222222222,"41"
"Italy","Nat. Not at all",0.275080906148867,"41"
"Luxembourg","Nat. Not at all",0.3125,"41"
"Denmark","Nat. Not at all",0.136363636363636,"41"
"Ireland","Nat. Not at all",0.602409638554217,"41"
"United Kingdom","Nat. Not at all",0.320652173913043,"41"
"Greece","Nat. Not at all",0.208053691275168,"41"
"Spain","Nat. Not at all",0.228310502283105,"41"
"Portugal","Nat. Not at all",0.341463414634146,"41"
"France","Nat. Very Sat.",0.847457627118644,"41.1"
"Belgium","Nat. Very Sat.",0.847826086956522,"41.1"
"Netherlands","Nat. Very Sat.",0.687022900763359,"41.1"
"West Germany","Nat. Very Sat.",0.865384615384615,"41.1"
"Italy","Nat. Very Sat.",0.630434782608696,"41.1"
"Luxembourg","Nat. Very Sat.",0.872,"41.1"
"Denmark","Nat. Very Sat.",0.620535714285714,"41.1"
"Ireland","Nat. Very Sat.",0.885245901639344,"41.1"
"United Kingdom","Nat. Very Sat.",0.7,"41.1"
"Greece","Nat. Very Sat.",0.826086956521739,"41.1"
"Spain","Nat. Very Sat.",0.815789473684211,"41.1"
"Portugal","Nat. Very Sat.",0.949152542372881,"41.1"
"France","Nat. Fairly Sat.",0.751082251082251,"41.1"
"Belgium","Nat. Fairly Sat.",0.835365853658537,"41.1"
"Netherlands","Nat. Fairly Sat.",0.530575539568345,"41.1"
"West Germany","Nat. Fairly Sat.",0.652495378927911,"41.1"
"Italy","Nat. Fairly Sat.",0.797101449275362,"41.1"
"Luxembourg","Nat. Fairly Sat.",0.782287822878229,"41.1"
"Denmark","Nat. Fairly Sat.",0.444649446494465,"41.1"
"Ireland","Nat. Fairly Sat.",0.889145496535797,"41.1"
"United Kingdom","Nat. Fairly Sat.",0.643181818181818,"41.1"
"Greece","Nat. Fairly Sat.",0.678260869565217,"41.1"
"Spain","Nat. Fairly Sat.",0.838709677419355,"41.1"
"Portugal","Nat. Fairly Sat.",0.860824742268041,"41.1"
"France","Nat. Not Very Sat.",0.190839694656489,"41.1"
"Belgium","Nat. Not Very Sat.",0.206349206349206,"41.1"
"Netherlands","Nat. Not Very Sat.",0.149532710280374,"41.1"
"West Germany","Nat. Not Very Sat.",0.195205479452055,"41.1"
"Italy","Nat. Not Very Sat.",0.402564102564103,"41.1"
"Luxembourg","Nat. Not Very Sat.",0.145833333333333,"41.1"
"Denmark","Nat. Not Very Sat.",0.130769230769231,"41.1"
"Ireland","Nat. Not Very Sat.",0.437837837837838,"41.1"
